 ;Antall;Antall per skrivemåte;Per 1 000;
1 Sofie;412; ;14;
Sofie; ;356; ;
Sophie; ;56; ;
2 Nora;405; ;14;
Nora; ;376; ;
Norah; ;29; ;
3 Emma;380; ;13;
4 Sara;346; ;12;
Sara; ;233; ;
Sahra; ;5; ;
Sarah; ;94; ;
5 Ella;319; ;11;
6 Olivia;316; ;11;
7 Maja;312; ;11;
Maja; ;201; ;
Maia; ;35; ;
Maya; ;76; ;
8 Emilie;285; ;10;
9 Sofia;272; ;9;
Sofia; ;206; ;
Sophia; ;66; ;
10 Ingrid;272; ;9;
Ingrid; ;267; ;
Ingerid; ;3; ;
Ingri; ;2; ;
11 Leah;270; ;9;
Leah; ;197; ;
Lea; ;73; ;
12 Frida;250; ;9;
13 Anna;249; ;8;
14 Thea;246; ;8;
Thea; ;237; ;
Tea; ;9; ;
15 Hanna;241; ;8;
Hanna; ;154; ;
Hannah; ;87; ;
16 Ida;239; ;8;
17 Alma;239; ;8;
18 Amalie;228; ;8;
19 Selma;221; ;7;
20 Aurora;219; ;7;
21 Lilly;212; ;7;
Lilly; ;172; ;
Lily; ;40; ;
22 Linnea;210; ;7;
Linnea; ;178; ;
Linea; ;32; ;
23 Tiril;208; ;7;
Tiril; ;201; ;
Tirill; ;7; ;
24 Maria;207; ;7;
25 Jenny;207; ;7;
26 Mia;205; ;7;
27 Mathilde;204; ;7;
Mathilde; ;155; ;
Matilde; ;49; ;
28 Hedda;202; ;7;
29 Victoria;196; ;7;
Victoria; ;157; ;
Viktoria; ;39; ;
30 Iben;189; ;6;
31 Tuva;185; ;6;
32 Julie;184; ;6;
33 Ada;180; ;6;
34 Vilde;177; ;6;
35 Live;177; ;6;
36 Marie;172; ;6;
37 Astrid;167; ;6;
Astrid; ;158; ;
Astri; ;9; ;
38 Oda;165; ;5;
39 Eline;158; ;5;
40 Eva;152; ;5;
41 Amanda;150; ;5;
42 Elise;138; ;4;
43 Josefine;136; ;4;
Josefine; ;119; ;
Josephine; ;17; ;
44 Amelia;132; ;4;
45 Ylva;130; ;4;
46 Oline;130; ;4;
47 Sigrid;128; ;4;
48 Ellinor;117; ;4;
49 Signe;113; ;4;
50 Saga;113; ;4;
