.;Antall;Antall per skrivemåte;Per 1 000;
1 Jakob;424; ;14;
Jakob; ;260; ;
Jacob; ;164; ;
2 Lucas;404; ;13;
Lucas; ;248; ;
Lukas; ;156; ;
3 Emil;397; ;13;
4 Oskar;393; ;13;
Oskar; ;229; ;
Oscar; ;164; ;
5 Oliver;390; ;13;
6 William;383; ;12;
7 Filip;382; ;12;
Filip; ;210; ;
Fillip; ;39; ;
Philip; ;98; ;
8 Noah;368; ;12;
Noah; ;357; ;
Noa; ;11; ;
9 Elias;349; ;11;
10 Isak;330; ;11;
Isak; ;289; ;
Isaac; ;16; ;
Isac; ;25; ;
11 Henrik;323; ;10;
12 Aksel;310; ;10;
Aksel; ;247; ;
Axel; ;63; ;
13 Kasper;307; ;10;
Kasper; ;188; ;
Casper; ;100; ;
Kacper; ;19; ;
14 Mathias;299; ;10;
Mathias; ;257; ;
Matias; ;42; ;
15 Jonas;298; ;10;
16 Tobias;296; ;9;
17 Liam;294; ;9;
18 Håkon;294; ;9;
Håkon; ;234; ;
Haakon; ;60; ;
19 Theodor;287; ;9;
Theodor; ;232; ;
Teodor; ;55; ;
20 Magnus;284; ;9;
21 Alexander;282; ;9;
Alexander; ;178; ;
Aleksander; ;104; ;
22 Markus;257; ;8;
Markus; ;151; ;
Marcus; ;106; ;
23 Olav;250; ;8;
24 Mohammad;246; ;8;
Mohammad; ;61; ;
Mohamed; ;46; ;
Mohammed; ;46; ;
Muhammad; ;74; ;
Muhammed; ;19; ;
25 Ludvig;241; ;8;
Ludvig; ;160; ;
Ludvik; ;81; ;
26 Johannes;240; ;8;
27 Sebastian;233; ;7;
28 Matheo;233; ;7;
29 Kristian;221; ;7;
Kristian; ;123; ;
Christian; ;98; ;
30 Sander;215; ;7;
31 Daniel;208; ;7;
32 Benjamin;207; ;6;
33 Victor;206; ;6;
Victor; ;103; ;
Viktor; ;103; ;
34 Theo;198; ;6;
Theo; ;176; ;
Teo; ;22; ;
35 Johan;192; ;6;
Johan; ;186; ;
Johann; ;6; ;
36 Nikolai;188; ;6;
Nikolai; ;104; ;
Nicolai; ;64; ;
Nicolay; ;12; ;
37 Leon;187; ;6;
38 Mikkel;181; ;6;
39 Felix;180; ;6;
40 Martin;177; ;5;
41 Adrian;175; ;5;
42 Ulrik;174; ;5;
43 Sigurd;171; ;5;
44 Iver;168; ;5;
45 Even;168; ;5;
46 Odin;167; ;5;
47 Adam;167; ;5;
48 Herman;166; ;5;
Herman; ;163; ;
Hermann; ;3; ;
49 Andreas;165; ;5;
50 Jonathan;163; ;5;
Jonathan; ;141; ;
Jonatan; ;22; ;
