date,A,B,C,D,E,F,G,H,I
2010-12-01,3.7818130428397927,5.967355892226109,3.762160204504764,3.866846255814858,5.981600915235667,5.022411638888742,3.0854418538672217,6.30747712398613,5.277247150371627,5.3220148323321235
2010-12-02,5.331463875596472,4.660503338108724,4.665367036512336,5.364428553022838,4.391356508397308,3.806875357116356,4.748915085203246,5.437406512328722,6.306762253379466,6.193043287426326
2010-12-03,5.427160364038077,4.49201786949349,6.025496218068675,4.15611961267539,4.75294595262216,5.451570946208001,4.641814263061959,3.2187244560465884,3.961525838008929,4.803202298142358
2010-12-04,3.3686981957058064,4.824421133074978,5.126108164893895,4.764423551485931,4.47223168446612,2.9933754331763347,6.454998406631451,3.3585985738244615,3.0606418310851264,5.818455314901977
2010-12-05,4.816035231835331,5.723614834915332,3.2025197423127683,5.777741728840683,3.531768487001826,7.216484068938458,5.262900338395125,4.926675720325265,5.546313192694996,4.412630292372773
2010-12-06,4.536996145902713,5.969337471412855,6.0478594104948185,6.944911177802117,5.429491741980421,4.798113728699191,7.579780034810346,5.362518424767023,5.805345822006201,6.535552617898137
2010-12-07,4.449903690833174,4.7348095666294805,5.667377346805342,4.113642978290192,4.7903119318045215,5.1635363973342745,4.259840620139233,4.431402651174887,6.218638999709947,4.19298340504505
2010-12-08,5.954520339184047,3.605637424169604,3.9139507991247338,4.33144141541503,5.338748737975254,3.9680800464048036,4.04100282761289,5.604467168007218,4.829929492727955,6.696629542567249
2010-12-09,4.4501867811112366,4.855531309035534,6.5614848537064825,5.386954089685023,5.41536040275721,4.703218850864937,4.134210981432462,3.723226287022415,4.911446010712748,4.107302666002086
2010-12-10,4.794016049784638,5.364682589559791,7.33220888375071,3.7567960953570747,6.119167969392213,5.86045174625882,1.5189768214998032,6.315579575610004,6.316607824298588,4.53012191795196
2010-12-11,4.026223318430911,6.671674269338132,3.7183762348296447,5.353079629644377,5.8231932809738405,5.108482133513723,6.103258891588004,4.548162145365416,4.335589178804504,6.2894093022334046
2010-12-12,2.7802521991497793,4.553980419951837,4.805846369096859,4.3007943009748715,5.307284820421497,5.696386781603347,4.155595091306391,4.182426229535364,5.082992155987824,5.822302558630307
2010-12-13,4.816450371313182,5.457467755365959,5.814249351744714,3.06283867905677,4.123085729122674,4.1259904253133,4.785450771651576,5.109395814275953,5.56692012471293,4.651909740981298
2010-12-14,4.268312719040218,6.039444926006592,5.237476010685565,5.609082350863068,4.049966035255688,3.734061459506684,5.162633561680073,4.777901938059204,4.937792814222008,4.809521138165779
2010-12-15,7.314834497352248,3.3258284132613096,5.012537830083225,4.95853582432234,4.559398701052753,5.908170551815256,4.321805751420536,5.526038472065702,3.5734598076439053,4.653014141542376
2010-12-16,7.092120547098483,5.273461389527035,3.993020534934304,5.784867328192413,4.158896073459035,4.492466404229762,6.63305415278503,6.585586220780237,6.607011344407162,4.190746011079678
2010-12-17,4.7400599390602824,4.108062518331262,5.697019818661673,4.0041576484701595,3.994004248608815,4.45503571470845,5.086373737575253,5.579068245916742,6.03625623872089,6.594807908031414
2010-12-18,6.833415235008739,4.840979743229967,3.805598428882095,5.962816486323922,4.913508607661084,4.3458020025424995,4.945902761075385,2.8941130594054356,5.545188965313416,2.7963155128453963
2010-12-19,5.416574930117403,3.742584473282027,5.332692145266872,5.88347661668588,4.856635475195462,5.2528195835548255,5.820940215168289,3.1747932898989495,4.739023537624054,5.17124794877169
2010-12-20,5.287232810806689,5.375727176740243,3.5179727127824845,5.4104132557452225,4.326693734466488,4.094094253141144,5.327151139156937,5.176569886766397,5.970676472270795,4.625072848988115
2010-12-21,4.325886996037644,6.13939523157771,4.736561997377984,5.843931022545956,5.638843075371595,3.8444631165980905,6.16485978089044,3.6253701268271623,3.5008880519734635,4.569465289511369
2010-12-22,5.746880407140044,5.2087109379041925,4.298775793540135,4.25503111588201,5.71841173405319,5.295501857852357,5.241236388521286,5.221619081506484,5.722796102498647,6.592566060536024
2010-12-23,3.9660940359668873,5.233538157403003,6.497926034009834,4.128933575920835,3.6570690495509224,5.089826980079193,3.644217760381399,4.396961588942793,6.29549285271194,3.347110629845451
2010-12-24,6.924516567902258,5.865185142706338,4.547276182041215,4.816978747634861,5.93363126042448,4.359357696923584,5.171196573893432,5.355036486136595,4.278650317571266,4.167049556502667
2010-12-25,5.230385085636884,4.549301159346995,4.329081821413704,4.465911769258902,3.982684303310309,4.7669907303934895,5.329947562582453,5.212484746199284,7.941951264593705,8.016546916275338
2010-12-26,5.253910251164915,5.018901955631629,5.149985442163499,5.158570232931699,5.9659640099272835,5.260908548120009,5.3808276646078275,6.067191005011397,6.28087890066983,4.9339240339232955
2010-12-27,5.523629755821939,5.891760574047949,2.734262920539079,6.015901029373537,4.513766778582956,4.997355416767868,5.315876237346031,5.1153091044724555,5.759612328478182,5.653954257919995
2010-12-28,6.51779313408282,6.190373262969783,6.33871416329629,5.249616012201784,6.121583228440608,4.997459159516298,3.602656888157929,5.23216365851968,5.820225401303779,4.3827670017029785
2010-12-29,5.41330662325127,4.239970634325109,6.381767926994115,3.8116625812281644,5.529192568588254,4.443785201943118,3.595355111817427,6.613500845497387,5.433790815940567,4.894220513803654
